DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-38.9487,-17.7693,29.4182,-2.6009,0.0,-56.718,26.8173,-29.9007
1,-39.2303,-17.8688,29.2415,-2.5675,0.0,-57.0991,26.674,-30.4251
2,-37.5172,-20.9491,28.3008,-2.4941,0.0,-58.4663,25.8067,-32.6596
3,-38.5006,-20.2512,32.0537,-2.5334,0.0,-58.7518,29.5203,-29.2315
4,-39.9433,-19.19,30.9475,-2.5449,0.0,-59.1333,28.4026,-30.7307
5,-40.4523,-17.2963,29.8434,-2.5246,0.0,-57.7486,27.3188,-30.4298
6,-40.3667,-17.7868,27.3627,-2.5498,0.0,-58.1535,24.8129,-33.3406
7,-38.1688,-18.1331,31.9746,-2.6763,0.0,-56.3019,29.2983,-27.0036
8,-41.7189,-16.921,27.1909,-2.5817,0.0,-58.6399,24.6092,-34.0307
9,-39.9257,-20.428,28.5275,-2.4906,0.0,-60.3537,26.0369,-34.3168
10,-41.7997,-19.2612,29.9851,-2.5801,0.0,-61.0609,27.405,-33.6559
11,-41.6477,-14.9022,29.444,-2.5614,0.0,-56.5499,26.8826,-29.6673
12,-40.6758,-17.9052,31.5556,-2.5672,0.0,-58.581,28.9884,-29.5926
13,-40.2643,-15.1225,29.757,-2.4625,0.0,-55.3868,27.2945,-28.0923
14,-40.8489,-19.5909,30.3966,-2.6457,0.0,-60.4398,27.7509,-32.6889
15,-41.7954,-15.3365,29.6212,-2.5502,0.0,-57.1319,27.071,-30.0609
16,-36.5596,-18.5509,30.9685,-2.5332,0.0,-55.1105,28.4353,-26.6752
17,-40.2475,-17.1124,33.702,-2.6213,0.0,-57.3599,31.0807,-26.2792
18,-38.0475,-21.9346,29.0437,-2.5584,0.0,-59.9821,26.4853,-33.4968
19,-41.0377,-17.0941,31.1385,-2.556,0.0,-58.1318,28.5825,-29.5493
20,-37.5977,-17.729,31.8618,-2.6029,0.0,-55.3267,29.2589,-26.0678
21,-39.9828,-16.5392,33.5083,-2.6977,0.0,-56.522,30.8106,-25.7114
22,-35.8231,-11.8251,29.5121,-2.583,0.0,-47.6482,26.9291,-20.7191
23,-40.2169,-15.3486,28.215,-2.544,0.0,-55.5655,25.671,-29.8945
24,-39.4519,-15.2532,27.5652,-2.644,0.0,-54.7051,24.9212,-29.7839
25,-37.911,-17.3621,28.3295,-2.5984,0.0,-55.2731,25.7311,-29.542
26,-37.8376,-14.7853,26.7261,-2.5413,0.0,-52.6229,24.1848,-28.4381
27,-38.7665,-19.7219,33.1091,-2.5959,0.0,-58.4884,30.5132,-27.9752
28,-42.0404,-18.5409,30.8383,-2.5247,0.0,-60.5813,28.3136,-32.2677
29,-38.4808,-20.6467,27.8674,-2.5452,0.0,-59.1275,25.3222,-33.8053
30,-40.0422,-16.7353,26.6981,-2.4997,0.0,-56.7775,24.1984,-32.5791
31,-41.4107,-17.7215,30.4339,-2.5498,0.0,-59.1322,27.8841,-31.2481
32,-40.6049,-16.543,29.8503,-2.5636,0.0,-57.1479,27.2867,-29.8612
33,-40.5941,-15.2376,30.1087,-2.577,0.0,-55.8317,27.5317,-28.3
34,-37.042,-20.8793,32.2759,-2.5473,0.0,-57.9213,29.7286,-28.1927
35,-37.8524,-20.775,31.678,-2.5561,0.0,-58.6274,29.1219,-29.5055
36,-39.0019,-17.2028,32.4993,-2.6024,0.0,-56.2047,29.8969,-26.3078
37,-41.7596,-19.0367,33.304,-2.4667,0.0,-60.7963,30.8373,-29.959
38,-37.8974,-18.4937,31.7537,-2.5958,0.0,-56.3911,29.1579,-27.2332
39,-39.0877,-17.7223,30.4701,-2.6158,0.0,-56.81,27.8543,-28.9557
40,-39.679,-18.4909,33.6877,-2.5439,0.0,-58.1699,31.1438,-27.0261
